Provincias;Tipo de hogar;Número de habitaciones de la vivienda;periodo;Total
Albacete;Hogar unipersonal;Menos de 3 habitaciones;2014;0,6
Albacete;Hogar unipersonal;Entre 3 y 6 habitaciones;2019;29,4
Albacete;Hogar unipersonal;Entre 3 y 6 habitaciones;2018;29,0
Albacete;Hogar unipersonal;Entre 3 y 6 habitaciones;2017;29,1
Albacete;Hogar unipersonal;Entre 3 y 6 habitaciones;2016;29,0
Albacete;Hogar unipersonal;Entre 3 y 6 habitaciones;2015;28,4
Albacete;Hogar unipersonal;Entre 3 y 6 habitaciones;2014;27,0
Albacete;Hogar unipersonal;7 o más habitaciones;2019;7,5
Albacete;Hogar unipersonal;7 o más habitaciones;2018;6,9
Albacete;Hogar unipersonal;7 o más habitaciones;2017;6,2
Albacete;Hogar unipersonal;7 o más habitaciones;2016;5,9
Albacete;Hogar unipersonal;7 o más habitaciones;2015;5,8
Albacete;Hogar unipersonal;7 o más habitaciones;2014;6,6
Albacete;Hogar monoparental;Total;2019;15,5
Albacete;Hogar monoparental;Total;2018;15,3
Albacete;Hogar monoparental;Total;2017;13,5
Albacete;Hogar monoparental;Total;2016;15,3
Albacete;Hogar monoparental;Total;2015;16,1
Albacete;Hogar monoparental;Total;2014;12,9
Albacete;Hogar monoparental;Menos de 3 habitaciones;2019;..
Albacete;Hogar monoparental;Menos de 3 habitaciones;2018;..
Albacete;Hogar monoparental;Menos de 3 habitaciones;2017;..
Albacete;Hogar monoparental;Menos de 3 habitaciones;2016;..
Albacete;Hogar monoparental;Menos de 3 habitaciones;2015;..
Albacete;Hogar monoparental;Menos de 3 habitaciones;2014;..
Albacete;Hogar monoparental;Entre 3 y 6 habitaciones;2019;13,6
Albacete;Hogar monoparental;Entre 3 y 6 habitaciones;2018;13,0
Albacete;Hogar monoparental;Entre 3 y 6 habitaciones;2017;10,8
Albacete;Hogar monoparental;Entre 3 y 6 habitaciones;2016;12,4
Albacete;Hogar monoparental;Entre 3 y 6 habitaciones;2015;12,4
Albacete;Hogar monoparental;Entre 3 y 6 habitaciones;2014;9,7
Albacete;Hogar monoparental;7 o más habitaciones;2019;1,9
Albacete;Hogar monoparental;7 o más habitaciones;2018;2,4
Albacete;Hogar monoparental;7 o más habitaciones;2017;2,8
Albacete;Hogar monoparental;7 o más habitaciones;2016;2,9
Albacete;Hogar monoparental;7 o más habitaciones;2015;3,7
Albacete;Hogar monoparental;7 o más habitaciones;2014;3,2
Albacete;Pareja sin hijos que convivan en el hogar;Total;2019;28,9
Albacete;Pareja sin hijos que convivan en el hogar;Total;2018;31,1
Albacete;Pareja sin hijos que convivan en el hogar;Total;2017;32,6
Albacete;Pareja sin hijos que convivan en el hogar;Total;2016;31,9
Albacete;Pareja sin hijos que convivan en el hogar;Total;2015;29,2
Albacete;Pareja sin hijos que convivan en el hogar;Total;2014;29,3
Albacete;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2019;..
Albacete;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2018;0,1
Albacete;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2017;0,1
Albacete;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2016;..
Albacete;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2015;..
Albacete;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2014;0,3
Albacete;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2019;20,8
Albacete;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2018;23,3
Albacete;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2017;26,8
Albacete;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2016;26,6
Albacete;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2015;23,2
Albacete;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2014;22,4
Albacete;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2019;8,1
Albacete;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2018;7,7
Albacete;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2017;5,7
Albacete;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2016;5,2
